"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22419-49111","C","Joel","Joel Embiid","Embiid","45.62380836123512","21","10800","PHI@MIN","PHI","MIN","GTD","Back","",""
"22419-66115","PF","Ben","Ben Simmons","Simmons","45.3039990234375","25","10000","PHI@MIN","PHI","MIN","","","",""
"22419-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","40.170369466145836","27","9700","PHI@MIN","MIN","PHI","","","",""
"22419-14528","SF","Jimmy","Jimmy Butler","Butler","37.2039990234375","25","9000","PHI@MIN","MIN","PHI","","","",""
"22419-23120","SF","TJ","TJ Warren","Warren","30.839285714285715","28","8000","PHO@SAC","PHO","SAC","","","",""
"22419-9579","PF","Zach","Zach Randolph","Randolph","28.183334350585938","24","7500","PHO@SAC","SAC","PHO","","","",""
"22419-58460","SG","Devin","Devin Booker","Booker","36.4239990234375","25","7400","PHO@SAC","PHO","SAC","O","Groin","",""
"22419-20491","SF","Robert","Robert Covington","Covington","30.98","25","7000","PHI@MIN","PHI","MIN","GTD","Back","",""
"22419-9446","PG","Jeff","Jeff Teague","Teague","30.726087487262227","23","6500","PHI@MIN","MIN","PHI","","","",""
"22419-55056","PF","Dario","Dario Saric","Saric","23.82","25","6400","PHI@MIN","PHI","MIN","","","",""
"22419-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","24.434782608695652","23","6000","PHO@SAC","SAC","PHO","GTD","Back","",""
"22419-49116","SG","Andrew","Andrew Wiggins","Wiggins","29.1629638671875","27","5900","PHI@MIN","MIN","PHI","","","",""
"22419-9655","SG","JJ","JJ Redick","Redick","25.833333333333332","24","5700","PHI@MIN","PHI","MIN","","","",""
"22419-9473","C","Tyson","Tyson Chandler","Chandler","22.605000305175782","20","5500","PHO@SAC","PHO","SAC","","","",""
"22419-23665","SG","Buddy","Buddy Hield","Hield","21.933334350585938","24","5500","PHO@SAC","SAC","PHO","","","",""
"22419-9481","PF","Taj","Taj Gibson","Gibson","26.4333337854456","27","5300","PHI@MIN","MIN","PHI","","","",""
"22419-12337","C","Greg","Greg Monroe","Monroe","21.5625","16","5300","PHO@SAC","PHO","SAC","","","",""
"22419-12350","PF","Trevor","Trevor Booker","Booker","22.310000610351562","20","5300","PHI@MIN","PHI","MIN","","","",""
"22419-15814","C","Alex","Alex Len","Len","23.31304400900136","23","4900","PHO@SAC","PHO","SAC","","","",""
"22419-58463","PG","Tyler","Tyler Ulis","Ulis","17.459259033203125","27","4800","PHO@SAC","PHO","SAC","","","",""
"22419-80809","SF","Josh","Josh Jackson","Jackson","17.349999564034597","28","4700","PHO@SAC","PHO","SAC","","","",""
"22419-80810","PG","De'Aaron","De'Aaron Fox","Fox","20.926922137920673","26","4700","PHO@SAC","SAC","PHO","","","",""
"22419-17542","C","Alan","Alan Williams","Williams","18.52978775349069","47","4600","PHO@SAC","PHO","SAC","O","Knee","",""
"22419-67707","PF","Marquese","Marquese Chriss","Chriss","17.696428571428573","28","4600","PHO@SAC","PHO","SAC","","","",""
"22419-23447","C","Richaun","Richaun Holmes","Holmes","14.708333333333334","12","4500","PHI@MIN","PHI","MIN","","","",""
"22419-19049","PG","Mike","Mike James","James","21.775000435965403","28","4500","PHO@SAC","PHO","SAC","","","",""
"22419-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","18.44782555621603","23","4200","PHO@SAC","SAC","PHO","","","",""
"22419-18393","PG","T.J.","T.J. McConnell","McConnell","20.695238385881698","21","4200","PHI@MIN","PHI","MIN","GTD","Shoulder","",""
"22419-15771","PF","Gorgui","Gorgui Dieng","Dieng","15.670833587646484","24","4100","PHI@MIN","MIN","PHI","","","",""
"22419-49114","PG","Frank","Frank Mason","Mason","14.905263800370065","19","4100","PHO@SAC","SAC","PHO","","","",""
"22419-9862","PF","Amir","Amir Johnson","Johnson","16.5749994913737","24","4000","PHI@MIN","PHI","MIN","","","",""
"22419-9703","PG","George","George Hill","Hill","18.278260604194973","23","4000","PHO@SAC","SAC","PHO","","","",""
"22419-16183","SF","JaKarr","JaKarr Sampson","Sampson","14.166666666666666","6","3700","PHO@SAC","SAC","PHO","","","",""
"22419-9810","PG","Jerryd","Jerryd Bayless","Bayless","15.875","20","3700","PHI@MIN","PHI","MIN","","","",""
"22419-9731","C","Kosta","Kosta Koufos","Koufos","15.934614915114183","26","3600","PHO@SAC","SAC","PHO","","","",""
"22419-58134","SF","Justin","Justin Jackson","Jackson","9.422222561306423","18","3500","PHO@SAC","SAC","PHO","","","",""
"22419-66203","SG","Malachi","Malachi Richardson","Richardson","7.016666412353516","12","3500","PHO@SAC","SAC","PHO","","","",""
"22419-70819","PF","Dragan","Dragan Bender","Bender","12.071428571428571","28","3500","PHO@SAC","PHO","SAC","","","",""
"22419-70821","C","Georgios","Georgios Papagiannis","Papagiannis","6.719999694824219","5","3500","PHO@SAC","SAC","PHO","","","",""
"22419-23717","SF","Shabazz","Shabazz Muhammad","Muhammad","7.322727550159801","22","3500","PHI@MIN","MIN","PHI","","","",""
"22419-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","10.184000244140625","25","3500","PHI@MIN","PHI","MIN","","","",""
"22419-70826","SG","Furkan","Furkan Korkmaz","Korkmaz","3.5333334604899087","6","3500","PHI@MIN","PHI","MIN","","","",""
"22419-80819","PF","Harry","Harry Giles","Giles","0","0","3500","PHO@SAC","SAC","PHO","O","Knee","",""
"22419-9654","SF","Vince","Vince Carter","Carter","7.800000359030331","17","3500","PHO@SAC","SAC","PHO","","","",""
"22419-16188","SF","Anthony","Anthony Brown","Brown","9.690908952192826","11","3500","PHI@MIN","MIN","PHI","","","",""
"22419-23612","SG","Marcus","Marcus Georges-Hunt","Georges-Hunt","0.9666666454739041","9","3500","PHI@MIN","MIN","PHI","","","",""
"22419-66109","PF","Skal","Skal Labissiere","Labissiere","15.595832824707031","24","3500","PHO@SAC","SAC","PHO","","","",""
