"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22415-9495","PG","J.J.","J.J. Barea","Barea","23.396296748408563","27","5400","SA@DAL","DAL","SA","","","",""
"22415-9615","SF","Courtney","Courtney Lee","Lee","24.303847092848557","26","5400","LAL@NY","NY","LAL","","","",""
"22415-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","25.699998938519023","23","5400","SA@DAL","DAL","SA","O","Hip","",""
"22415-12334","SG","Avery","Avery Bradley","Bradley","24.02692354642428","26","5300","DEN@DET","DET","DEN","GTD","Illness","",""
"22415-12337","C","Greg","Greg Monroe","Monroe","21.5625","16","5300","PHO@SAC","PHO","SAC","","","",""
"22415-12350","PF","Trevor","Trevor Booker","Booker","22.310000610351562","20","5300","PHI@MIN","PHI","MIN","","","",""
"22415-20640","SG","Jordan","Jordan Clarkson","Clarkson","23.2160009765625","25","5300","LAL@NY","LAL","NY","","","",""
"22415-23716","SF","Kyle","Kyle Anderson","Anderson","25.278261931046195","23","5300","SA@DAL","SA","DAL","O","Knee","",""
"22415-42669","PF","Julius","Julius Randle","Randle","24.51199951171875","25","5300","LAL@NY","LAL","NY","","","",""
"22415-9481","PF","Taj","Taj Gibson","Gibson","26.4333337854456","27","5300","PHI@MIN","MIN","PHI","","","",""
"22415-9577","SF","Rudy","Rudy Gay","Gay","24.68","25","5300","SA@DAL","SA","DAL","","","",""
"22415-9585","SG","Dwyane","Dwyane Wade","Wade","24.915384145883415","26","5300","ATL@CLE","CLE","ATL","","","",""
"22415-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","24.521427699497767","14","5200","LAL@NY","LAL","NY","","","",""
"22415-66108","PG","Jamal","Jamal Murray","Murray","21.81923029972957","26","5200","DEN@DET","DEN","DET","","","",""
"22415-58083","C","Jahlil","Jahlil Okafor","Okafor","12.649999618530273","2","5200","WAS@BKN","BKN","WAS","","","",""
"22415-15590","C","Mason","Mason Plumlee","Plumlee","17.74230722280649","26","5200","DEN@DET","DEN","DET","","","",""
"22415-14511","PF","Markieff","Markieff Morris","Morris","19.07894736842105","19","5100","WAS@BKN","WAS","BKN","","","",""
"22415-9799","SG","Wesley","Wesley Matthews","Matthews","22.248148600260418","27","5000","SA@DAL","DAL","SA","","","",""
"22415-15814","C","Alex","Alex Len","Len","23.31304400900136","23","4900","PHO@SAC","PHO","SAC","","","",""
"22415-58461","PF","Trey","Trey Lyles","Lyles","12.976190476190476","21","4800","DEN@DET","DEN","DET","","","",""
"22415-58463","PG","Tyler","Tyler Ulis","Ulis","17.459259033203125","27","4800","PHO@SAC","PHO","SAC","","","",""
"22415-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","22.492592140480323","27","4800","SA@DAL","DAL","SA","","","",""
"22415-9713","PG","Jarrett","Jarrett Jack","Jack","19.054166158040363","24","4800","LAL@NY","NY","LAL","","","",""
"22415-80809","SF","Josh","Josh Jackson","Jackson","17.349999564034597","28","4700","PHO@SAC","PHO","SAC","","","",""
"22415-80810","PG","De'Aaron","De'Aaron Fox","Fox","20.926922137920673","26","4700","PHO@SAC","SAC","PHO","","","",""
"22415-9661","C","Marcin","Marcin Gortat","Gortat","25.23461444561298","26","4700","WAS@BKN","WAS","BKN","","","",""
"22415-67707","PF","Marquese","Marquese Chriss","Chriss","17.696428571428573","28","4600","PHO@SAC","PHO","SAC","","","",""
"22415-17542","C","Alan","Alan Williams","Williams","18.52978775349069","47","4600","PHO@SAC","PHO","SAC","O","Knee","",""
"22415-23097","PG","Tomas","Tomas Satoransky","Satoransky","13.205882352941176","17","4500","WAS@BKN","WAS","BKN","","","",""
"22415-19049","PG","Mike","Mike James","James","21.775000435965403","28","4500","PHO@SAC","PHO","SAC","","","",""
"22415-15501","SF","Allen","Allen Crabbe","Crabbe","20.459091186523438","22","4500","WAS@BKN","BKN","WAS","","","",""
"22415-23772","PG","Yogi","Yogi Ferrell","Ferrell","17.055555555555557","27","4500","SA@DAL","DAL","SA","","","",""
"22415-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","22.061537522536057","26","4500","WAS@BKN","WAS","BKN","","","",""
"22415-23447","C","Richaun","Richaun Holmes","Holmes","14.708333333333334","12","4500","PHI@MIN","PHI","MIN","","","",""
"22415-9648","PF","Jeff","Jeff Green","Green","18.944444444444443","27","4500","ATL@CLE","CLE","ATL","","","",""
"22415-9758","SG","Danny","Danny Green","Green","22.5039990234375","25","4400","SA@DAL","SA","DAL","","","",""
"22415-9475","PG","Derrick","Derrick Rose","Rose","18.514286586216517","7","4400","ATL@CLE","CLE","ATL","O","Ankle","",""
"22415-9506","SG","JR","JR Smith","Smith","17.251851399739582","27","4400","ATL@CLE","CLE","ATL","","","",""
"22415-9621","C","Brook","Brook Lopez","Lopez","25.7439990234375","25","4400","LAL@NY","LAL","NY","","","",""
"22415-9636","SF","Wilson","Wilson Chandler","Chandler","19.290908813476562","22","4400","DEN@DET","DEN","DET","","","",""
"22415-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","10.941176470588236","17","4200","ATL@CLE","ATL","CLE","","","",""
"22415-14501","C","Tristan","Tristan Thompson","Thompson","13.712499618530273","8","4200","ATL@CLE","CLE","ATL","GTD","Calf","",""
"22415-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","12.84999974568685","12","4200","ATL@CLE","ATL","CLE","","","",""
"22415-9939","PG","Patty","Patty Mills","Mills","19.218519422743057","27","4200","SA@DAL","SA","DAL","","","",""
"22415-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","18.44782555621603","23","4200","PHO@SAC","SAC","PHO","","","",""
"22415-18393","PG","T.J.","T.J. McConnell","McConnell","20.695238385881698","21","4200","PHI@MIN","PHI","MIN","GTD","Shoulder","",""
"22415-15771","PF","Gorgui","Gorgui Dieng","Dieng","15.670833587646484","24","4100","PHI@MIN","MIN","PHI","","","",""
"22415-15800","PF","Jae","Jae Crowder","Crowder","15.488889341001157","27","4100","ATL@CLE","CLE","ATL","","","",""
"22415-49114","PG","Frank","Frank Mason","Mason","14.905263800370065","19","4100","PHO@SAC","SAC","PHO","","","",""
"22415-58350","SF","Stanley","Stanley Johnson","Johnson","17.373913308848504","23","4100","DEN@DET","DET","DEN","","","",""
"22415-9862","PF","Amir","Amir Johnson","Johnson","16.5749994913737","24","4000","PHI@MIN","PHI","MIN","","","",""
"22415-12511","PG","Ish","Ish Smith","Smith","18.457692072941708","26","4000","DEN@DET","DET","DEN","","","",""
"22415-15583","SG","Seth","Seth Curry","Curry","22.30142822265625","70","4000","SA@DAL","DAL","SA","O","Lower leg","",""
"22415-18256","SF","Doug","Doug McDermott","McDermott","14.903846153846153","26","4000","LAL@NY","NY","LAL","","","",""
"22415-9613","SG","Devin","Devin Harris","Harris","16.042856852213543","21","4000","SA@DAL","DAL","SA","","","",""
"22415-9703","PG","George","George Hill","Hill","18.278260604194973","23","4000","PHO@SAC","SAC","PHO","","","",""
"22415-9715","SG","Marco","Marco Belinelli","Belinelli","20.888460599459133","26","4000","ATL@CLE","ATL","CLE","","","",""
"22415-67708","PG","Dejounte","Dejounte Murray","Murray","16.966666892722802","27","3900","SA@DAL","SA","DAL","","","",""
"22415-16071","PG","Tim","Tim Frazier","Frazier","14.265384380634014","26","3900","WAS@BKN","WAS","BKN","","","",""
"22415-80813","PG","Frank","Frank Ntilikina","Ntilikina","15.143477730129076","23","3900","LAL@NY","NY","LAL","","","",""
"22415-9702","PG","Tony","Tony Parker","Parker","18.416666666666668","6","3900","SA@DAL","SA","DAL","GTD","Rest","",""
"22415-17384","C","Kyle","Kyle O'Quinn","O'Quinn","19.07307668832632","26","3900","LAL@NY","NY","LAL","","","",""
"22415-16368","PF","Mike","Mike Scott","Scott","14.291304878566576","23","3900","WAS@BKN","WAS","BKN","","","",""
"22415-70824","C","Ante","Ante Zizic","Zizic","3.5700000762939452","10","3800","ATL@CLE","CLE","ATL","","","",""
"22415-9920","PF","Anthony","Anthony Tolliver","Tolliver","13.230434251868207","23","3800","DEN@DET","DET","DEN","","","",""
"22415-81621","PF","Maxi","Maxi Kleber","Kleber","12.071428571428571","21","3800","SA@DAL","DAL","SA","","","",""
"22415-9953","C","Ian","Ian Mahinmi","Mahinmi","10.953845684344952","26","3800","WAS@BKN","WAS","BKN","GTD","Knee","",""
