"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22846-12349","PF","Luke","Luke Babbitt","Babbitt","11.063333129882812","30","3500","ATL@LAC","ATL","LAC","","","",""
"22846-49349","PG","Isaiah","Isaiah Taylor","Taylor","11.262499809265137","32","3500","ATL@LAC","ATL","LAC","","","",""
"22846-40396","PG","Monte","Monte Morris","Morris","1.5","1","3500","DEN@GS","DEN","GS","","","",""
"22846-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","11.84074119285301","27","3500","ATL@LAC","ATL","LAC","","","",""
"22846-15582","PG","Quinn","Quinn Cook","Cook","6.619999694824219","10","3500","DEN@GS","GS","DEN","","","",""
"22846-67556","PG","Tyler","Tyler Dorsey","Dorsey","4.66923082791842","13","3500","ATL@LAC","ATL","LAC","","","",""
"22846-15591","C","Miles","Miles Plumlee","Plumlee","12.5","20","3500","ATL@LAC","ATL","LAC","","","",""
"22846-9706","SF","Richard","Richard Jefferson","Jefferson","2.410000038146973","10","3500","DEN@GS","DEN","GS","","","",""
"22846-68203","PF","Chris","Chris Boucher","Boucher","0","0","3500","DEN@GS","GS","DEN","","","",""
"22846-9580","PF","Darrell","Darrell Arthur","Arthur","2.9399999618530273","5","3500","DEN@GS","DEN","GS","","","",""
"22846-41077","PG","Sindarius","Sindarius Thornwell","Thornwell","8.786486651446369","37","3500","ATL@LAC","LAC","ATL","","","",""
"22846-24186","SG","Tyrone","Tyrone Wallace","Wallace","27.600000381469727","1","3500","ATL@LAC","LAC","ATL","","","",""
"22846-41082","C","Damian","Damian Jones","Jones","1.2000000476837158","1","3500","DEN@GS","GS","DEN","","","",""
