"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"19392-9488","SF","LeBron","LeBron James","James","49.443243903082774","74","12500","BOS@CLE","CLE","BOS","","","",""
"19392-14513","SF","Kawhi","Kawhi Leonard","Leonard","40.75675675675676","74","11000","GS@SA","SA","GS","GTD","Ankle","",""
"19392-9646","SF","Kevin","Kevin Durant","Durant","45.364517704133064","62","10000","GS@SA","GS","SA","","","",""
"19392-9524","PG","Stephen","Stephen Curry","Curry","41.615191109572784","79","10000","GS@SA","GS","SA","","","",""
"19392-14559","PG","Isaiah","Isaiah Thomas","Thomas","40.43421052631579","76","9200","BOS@CLE","BOS","CLE","O","Hip","",""
"19392-14498","PG","Kyrie","Kyrie Irving","Irving","38.236111111111114","72","8800","BOS@CLE","CLE","BOS","","","",""
"19392-15860","PF","Draymond","Draymond Green","Green","34.60921116879112","76","8600","GS@SA","GS","SA","","","",""
"19392-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","31.237501356336807","72","8000","GS@SA","SA","GS","","","",""
"19392-9453","C","Al","Al Horford","Horford","32.00735294117647","68","8000","BOS@CLE","BOS","CLE","","","",""
"19392-9874","PF","Kevin","Kevin Love","Love","35.686665852864586","60","7500","BOS@CLE","CLE","BOS","","","",""
"19392-14509","SG","Klay","Klay Thompson","Thompson","30.871794871794872","78","7100","GS@SA","GS","SA","","","",""
"19392-12334","SG","Avery","Avery Bradley","Bradley","28.141819069602274","55","6500","BOS@CLE","BOS","CLE","","","",""
"19392-15800","SF","Jae","Jae Crowder","Crowder","25.57638888888889","72","6300","BOS@CLE","BOS","CLE","","","",""
"19392-9570","C","Pau","Pau Gasol","Gasol","26.956249237060547","64","6100","GS@SA","SA","GS","","","",""
"19392-9939","PG","Patty","Patty Mills","Mills","17.289999389648436","80","5200","GS@SA","SA","GS","","","",""
"19392-14501","C","Tristan","Tristan Thompson","Thompson","22.891025641025642","78","5100","BOS@CLE","CLE","BOS","","","",""
"19392-23670","SG","Marcus","Marcus Smart","Smart","24.126582278481013","79","5100","BOS@CLE","BOS","CLE","","","",""
"19392-22541","C","Kelly","Kelly Olynyk","Olynyk","18.415999348958334","75","4800","BOS@CLE","BOS","CLE","","","",""
"19392-9664","SF","Andre","Andre Iguodala","Iguodala","19.767105905633223","76","4700","GS@SA","GS","SA","","","",""
"19392-18821","SF","Jonathon","Jonathon Simmons","Simmons","11.948717948717949","78","4300","GS@SA","SA","GS","","","",""
"19392-9758","SG","Danny","Danny Green","Green","16.6147066004136","68","4200","GS@SA","SA","GS","","","",""
"19392-9739","C","JaVale","JaVale McGee","McGee","11.977921919389205","77","4000","GS@SA","GS","SA","","","",""
"19392-9454","C","Zaza","Zaza Pachulia","Pachulia","17.32857142857143","70","4000","GS@SA","GS","SA","GTD","Heel","",""
"19392-9870","SG","Kyle","Kyle Korver","Korver","16.525372405550375","67","3500","BOS@CLE","CLE","BOS","","","",""
"19392-58658","SG","Patrick","Patrick McCaw","McCaw","8.105633802816902","71","3500","GS@SA","GS","SA","","","",""
"19392-9783","C","Joel","Joel Anthony","Anthony","4.1421051025390625","19","3500","GS@SA","SA","GS","","","",""
"19392-9678","PF","Channing","Channing Frye","Frye","15.925675675675675","74","3500","BOS@CLE","CLE","BOS","","","",""
"19392-9506","SG","J.R.","J.R. Smith","Smith","15.990243306974085","41","3300","BOS@CLE","CLE","BOS","","","",""
"19392-9629","PF","David","David West","West","13.060293758616728","68","3200","GS@SA","GS","SA","","","",""
"19392-14515","SG","Iman","Iman Shumpert","Shumpert","14.3697365208676","76","3100","BOS@CLE","CLE","BOS","","","",""
"19392-9638","PF","David","David Lee","Lee","17.084809508504748","79","3000","GS@SA","SA","GS","O","Lower body","",""
"19392-17747","SG","Ian","Ian Clark","Clark","10.989610548143263","77","3000","GS@SA","GS","SA","","","",""
"19392-9704","SG","Manu","Manu Ginobili","Ginobili","15.650724991508152","69","3000","GS@SA","SA","GS","","","",""
"19392-9706","SF","Richard","Richard Jefferson","Jefferson","10.488607285897944","79","2900","BOS@CLE","CLE","BOS","","","",""
"19392-67708","PG","Dejounte","Dejounte Murray","Murray","6.37894720780222","38","2600","GS@SA","SA","GS","","","",""
"19392-9862","PF","Amir","Amir Johnson","Johnson","16.477499389648436","80","2500","BOS@CLE","BOS","CLE","","","",""
"19392-23716","SF","Kyle","Kyle Anderson","Anderson","10.376388549804688","72","2500","GS@SA","SA","GS","","","",""
"19392-9722","PG","Deron","Deron Williams","Williams","21.209375381469727","64","2500","BOS@CLE","CLE","BOS","","","",""
"19392-42677","PG","Terry","Terry Rozier","Rozier","12.782432762352196","74","2300","BOS@CLE","BOS","CLE","","","",""
"19392-67026","SF","Jaylen","Jaylen Brown","Brown","11.705128205128204","78","2100","BOS@CLE","BOS","CLE","","","",""
"19392-9849","SG","Gerald","Gerald Green","Green","8.921276336020611","47","2100","BOS@CLE","BOS","CLE","","","",""
"19392-16301","C","Dewayne","Dewayne Dedmon","Dedmon","15.56842041015625","76","2000","GS@SA","SA","GS","","","",""
"19392-15955","PF","James Michael","James Michael McAdoo","McAdoo","6.888461773212139","52","1900","GS@SA","GS","SA","","","",""
"19392-14500","PF","Derrick","Derrick Williams","Williams","10.32","50","1800","BOS@CLE","CLE","BOS","","","",""
"19392-42671","SF","James","James Young","Young","4.3172412740773165","29","1700","BOS@CLE","BOS","CLE","","","",""
"19392-9490","C","Anderson","Anderson Varejao","Varejao","4.9571429661342075","14","1500","GS@SA","GS","SA","","","",""
"19392-55063","C","Edy","Edy Tavares","Tavares","16.350000381469727","2","1500","BOS@CLE","CLE","BOS","O","Hand","",""
"19392-9643","PG","Shaun","Shaun Livingston","Livingston","10.956579107987253","76","1500","GS@SA","GS","SA","","","",""
"19392-41269","PG","Demetrius","Demetrius Jackson","Jackson","3.8599998474121096","5","1500","BOS@CLE","BOS","CLE","","","",""
"19392-74164","PG","Nicolas","Nicolas Laprovittola","Laprovittola","5.777777777777778","18","1500","GS@SA","SA","GS","","","",""
"19392-9657","SF","Matt","Matt Barnes","Barnes","17.85540606524493","74","1500","GS@SA","GS","SA","","","",""
"19392-9785","SG","James","James Jones","Jones","4.570833206176758","48","1500","BOS@CLE","CLE","BOS","","","",""
"19392-58576","PF","Kevon","Kevon Looney","Looney","7.062263920622052","53","1500","GS@SA","GS","SA","GTD","Hip","",""
"19392-15961","C","Tyler","Tyler Zeller","Zeller","8.349019368489584","51","1500","BOS@CLE","BOS","CLE","","","",""
"19392-16230","SG","Jordan","Jordan McRae","McRae","6.829729647249789","37","1500","BOS@CLE","CLE","BOS","","","",""
"19392-41063","PF","Jordan","Jordan Mickey","Mickey","3.9320001220703125","25","1500","BOS@CLE","BOS","CLE","","","",""
"19392-9962","PF","Jonas","Jonas Jerebko","Jerebko","9.960256723257212","78","1500","BOS@CLE","BOS","CLE","","","",""
"19392-23788","SG","Bryn","Bryn Forbes","Forbes","4.127777947319879","36","1500","GS@SA","SA","GS","","","",""
"19392-41082","C","Damian","Damian Jones","Jones","5.05999984741211","10","1500","GS@SA","GS","SA","","","",""
"19392-9546","SG","Dahntay","Dahntay Jones","Jones","11.899999618530273","1","1400","BOS@CLE","CLE","BOS","","","",""
"19392-14543","SF","Davis","Davis Bertans","Bertans","8.262686202775187","67","1300","GS@SA","SA","GS","","","",""
