"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17434-15755","PF","Anthony","","Davis","52.539998372395836","30","11600","DAL@NO","NO","DAL","","","",""
"17434-9644","SG","James","","Harden","52.69999842489919","31","11600","PHO@HOU","HOU","PHO","","","",""
"17434-12362","C","DeMarcus","","Cousins","49.237931876346984","29","11200","PHI@SAC","SAC","PHI","","","",""
"17434-40199","SG","Giannis","","Antetokounmpo","47.878570556640625","28","10600","MIL@WAS","MIL","WAS","","","",""
"17434-9488","SF","LeBron","","James","47.900001808449076","27","10000","CLE@DET","CLE","DET","","","",""
"17434-12332","PG","John","","Wall","44.485184280960645","27","9700","MIL@WAS","WAS","MIL","","","",""
"17434-9623","PG","Chris","","Paul","40.83999837239583","30","9500","DEN@LAC","LAC","DEN","GTD","Hamstring","",""
"17434-58462","C","Karl-Anthony","","Towns","41.00689486799569","29","9200","ATL@MIN","MIN","ATL","","","",""
"17434-20848","PG","Damian","","Lillard","41.20624923706055","32","9100","TOR@POR","POR","TOR","GTD","Ankle","",""
"17434-9560","PF","Blake","","Griffin","39.55769230769231","26","8800","DEN@LAC","LAC","DEN","O","Knee","",""
"17434-9535","PG","Kyle","","Lowry","38.88965685614224","29","8700","TOR@POR","TOR","POR","","","",""
"17434-9874","PF","Kevin","","Love","38.22692401592548","26","8400","CLE@DET","CLE","DET","","","",""
"17434-9714","SG","DeMar","","DeRozan","39.93448191675647","29","8300","TOR@POR","TOR","POR","","","",""
"17434-9729","PF","Paul","","Millsap","35.97777868200232","27","8200","ATL@MIN","ATL","MIN","","","",""
"17434-12355","PG","Eric","","Bledsoe","35.19666748046875","30","8200","PHO@HOU","PHO","HOU","","","",""
"17434-14528","SF","Jimmy","","Butler","40.6689663591056","29","8200","IND@CHI","CHI","IND","","","",""
"17434-9446","PG","Jeff","","Teague","33.88387175529234","31","8200","IND@CHI","IND","CHI","","","",""
"17434-14507","PG","Kemba","","Walker","36.51724137931034","29","8000","CHA@BKN","CHA","BKN","","","",""
"17434-9581","C","Marc","","Gasol","36.4933349609375","30","8000","MEM@ORL","MEM","ORL","","","",""
"17434-12341","SF","Paul","","George","35.98333231608073","24","7900","IND@CHI","IND","CHI","","","",""
"17434-14498","PG","Kyrie","","Irving","36.529629177517364","27","7900","CLE@DET","CLE","DET","","","",""
"17434-9660","C","Dwight","","Howard","33.97307645357572","26","7900","ATL@MIN","ATL","MIN","GTD","Back","",""
"17434-9809","SG","Nicolas","","Batum","32.52758578596444","29","7500","CHA@BKN","CHA","BKN","","","",""
"17434-15557","C","Andre","","Drummond","34.88709677419355","31","7400","CLE@DET","DET","CLE","","","",""
"17434-9577","SF","Rudy","","Gay","32.69130540930706","23","7300","PHI@SAC","SAC","PHI","GTD","Hip","",""
"17434-9621","C","Brook","","Lopez","33.10384662334736","26","7300","CHA@BKN","BKN","CHA","","","",""
"17434-9561","C","DeAndre","","Jordan","31.429031864289314","31","7200","DEN@LAC","LAC","DEN","","","",""
"17434-19067","SG","C.J.","","McCollum","32.599998474121094","32","7100","TOR@POR","POR","TOR","","","",""
"17434-40201","PG","Dennis","","Schroder","29.576666259765624","30","7100","ATL@MIN","ATL","MIN","","","",""
"17434-9663","PG","Jrue","","Holiday","30.05294081744026","17","7100","DAL@NO","NO","DAL","","","",""
"17434-49111","C","Joel","","Embiid","32.445001220703126","20","7100","PHI@SAC","PHI","SAC","","","",""
"17434-9575","PG","Mike","","Conley","32.55454600941051","22","7000","MEM@ORL","MEM","ORL","","","",""
"17434-42550","PF","Jabari","","Parker","31.646427699497767","28","6900","MIL@WAS","MIL","WAS","","","",""
"17434-15595","SG","Bradley","","Beal","31.623077392578125","26","6900","MIL@WAS","WAS","MIL","","","",""
"17434-40783","SG","Zach","","LaVine","30.096429007393972","28","6800","ATL@MIN","MIN","ATL","","","",""
"17434-9585","SG","Dwyane","","Wade","31.537037037037038","27","6700","IND@CHI","CHI","IND","","","",""
"17434-14514","C","Nikola","","Vucevic","31.3344831795528","29","6600","MEM@ORL","ORL","MEM","","","",""
"17434-55062","PF","Nikola","","Jokic","26.35555465133102","27","6600","DEN@LAC","DEN","LAC","","","",""
"17434-9722","PG","Deron","","Williams","25.777271617542613","22","6600","DAL@NO","DAL","NO","","","",""
"17434-15946","SF","Harrison","","Barnes","29.906667073567707","30","6500","DAL@NO","DAL","NO","","","",""
"17434-12443","PG","Jeremy","","Lin","28.07272616299716","11","6400","CHA@BKN","BKN","CHA","","","",""
"17434-9957","PF","Serge","","Ibaka","28.728124618530273","32","6300","MEM@ORL","ORL","MEM","","","",""
"17434-58460","SG","Devin","","Booker","27.131034061826508","29","6200","PHO@HOU","PHO","HOU","","","",""
"17434-58253","C","Myles","","Turner","30.5","30","6200","IND@CHI","IND","CHI","","","",""
"17434-49116","SF","Andrew","","Wiggins","29.893104290140087","29","6200","ATL@MIN","MIN","ATL","","","",""
"17434-9637","SF","Danilo","","Gallinari","26.040739836516202","27","6100","DEN@LAC","DEN","LAC","","","",""
"17434-9661","C","Marcin","","Gortat","29.386207317483837","29","6100","MIL@WAS","WAS","MIL","","","",""
"17434-19138","PG","Elfrid","","Payton","26.412500381469727","32","6000","MEM@ORL","ORL","MEM","","","",""
"17434-15590","C","Mason","","Plumlee","28.174999237060547","32","6000","TOR@POR","POR","TOR","","","",""
"17434-9455","PG","Rajon","","Rondo","27.27199951171875","25","6000","IND@CHI","CHI","IND","","","",""
"17434-9636","SF","Wilson","","Chandler","28.633332429108798","27","6000","DEN@LAC","DEN","LAC","","","",""
"17434-9772","PF","Ryan","","Anderson","22.341934696320564","31","5900","PHO@HOU","HOU","PHO","","","",""
"17434-23096","SG","Evan","","Fournier","26.658065303679436","31","5900","MEM@ORL","ORL","MEM","GTD","Heel","",""
