"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22435-9644","SG","James","James Harden","Harden","54.8239990234375","25","12100","CHA@HOU","HOU","CHA","","","",""
"22435-9623","PG","Chris","Chris Paul","Paul","40.59090909090909","11","9300","CHA@HOU","HOU","CHA","","","",""
"22435-9660","C","Dwight","Dwight Howard","Howard","34.38846059945914","26","8800","CHA@HOU","CHA","HOU","","","",""
"22435-9714","SG","DeMar","DeMar DeRozan","DeRozan","38.1839990234375","25","8800","TOR@PHO","TOR","PHO","","","",""
"22435-9535","PG","Kyle","Kyle Lowry","Lowry","35.07199951171875","25","8000","TOR@PHO","TOR","PHO","","","",""
"22435-23120","SF","TJ","TJ Warren","Warren","30.70689655172414","29","8000","TOR@PHO","PHO","TOR","","","",""
"22435-14507","PG","Kemba","Kemba Walker","Walker","37.14166768391927","24","7900","CHA@HOU","CHA","HOU","","","",""
"22435-55059","C","Clint","Clint Capela","Capela","34.84800048828125","25","7400","CHA@HOU","HOU","CHA","","","",""
"22435-58460","SG","Devin","Devin Booker","Booker","36.4239990234375","25","7400","TOR@PHO","PHO","TOR","O","Groin","",""
"22435-9809","SG","Nicolas","Nicolas Batum","Batum","23.5749994913737","12","6400","CHA@HOU","CHA","HOU","","","",""
"22435-9957","PF","Serge","Serge Ibaka","Ibaka","24.921739661175273","23","5800","TOR@PHO","TOR","PHO","","","",""
"22435-12337","C","Greg","Greg Monroe","Monroe","21.5625","16","5700","TOR@PHO","PHO","TOR","","","",""
"22435-9473","C","Tyson","Tyson Chandler","Chandler","22.814286004929315","21","5500","TOR@PHO","PHO","TOR","O","Personal","",""
"22435-9538","SF","Trevor","Trevor Ariza","Ariza","24.31304400900136","23","5300","CHA@HOU","HOU","CHA","","","",""
"22435-9556","SG","Eric","Eric Gordon","Gordon","25.895651112432066","23","5200","CHA@HOU","HOU","CHA","","","",""
"22435-14503","C","Jonas","Jonas Valanciunas","Valanciunas","21.576190766834078","21","5000","TOR@PHO","TOR","PHO","","","",""
"22435-15814","C","Alex","Alex Len","Len","23.3874994913737","24","4900","TOR@PHO","PHO","TOR","","","",""
"22435-15559","SG","Jeremy","Jeremy Lamb","Lamb","27.3239990234375","25","4900","CHA@HOU","CHA","HOU","","","",""
"22435-9451","PF","Marvin","Marvin Williams","Williams","19.71538367638221","26","4900","CHA@HOU","CHA","HOU","","","",""
"22435-15758","SF","Michael","Michael Kidd-Gilchrist","Kidd-Gilchrist","20.539999389648436","20","4800","CHA@HOU","CHA","HOU","","","",""
"22435-58463","PG","Tyler","Tyler Ulis","Ulis","17.553571428571427","28","4800","TOR@PHO","PHO","TOR","","","",""
"22435-80809","SF","Josh","Josh Jackson","Jackson","17.268965096309266","29","4700","TOR@PHO","PHO","TOR","","","",""
"22435-17542","C","Alan","Alan Williams","Williams","18.52978775349069","47","4600","TOR@PHO","PHO","TOR","O","Knee","",""
"22435-67707","PF","Marquese","Marquese Chriss","Chriss","17.886207317483837","29","4600","TOR@PHO","PHO","TOR","","","",""
"22435-19049","PG","Mike","Mike James","James","21.875862910829742","29","4500","TOR@PHO","PHO","TOR","","","",""
"22435-24247","PG","Fred","Fred VanVleet","VanVleet","15.02800048828125","25","4400","TOR@PHO","TOR","PHO","","","",""
"22435-68090","SF","OG","OG Anunoby","Anunoby","12.35199951171875","25","4200","TOR@PHO","TOR","PHO","","","",""
"22435-58378","C","Jakob","Jakob Poeltl","Poeltl","16.04","25","4100","TOR@PHO","TOR","PHO","","","",""
"22435-60021","PF","Pascal","Pascal Siakam","Siakam","17.912499745686848","24","3900","TOR@PHO","TOR","PHO","","","",""
"22435-16448","PF","Frank","Frank Kaminsky","Kaminsky","18.4956519085428","23","3800","CHA@HOU","CHA","HOU","","","",""
"22435-15691","C","Cody","Cody Zeller","Zeller","18.61052663702714","19","3800","CHA@HOU","CHA","HOU","O","Knee","",""
"22435-9725","SF","CJ","CJ Miles","Miles","16.418182373046875","22","3800","TOR@PHO","TOR","PHO","","","",""
"22435-9772","PF","Ryan","Ryan Anderson","Anderson","20.40416717529297","24","3600","CHA@HOU","HOU","CHA","","","",""
"22435-23407","SF","PJ","PJ Tucker","Tucker","17.88800048828125","25","3600","CHA@HOU","HOU","CHA","","","",""
"22435-18435","PF","Alfonzo","Alfonzo McKinnie","McKinnie","2.5625","8","3500","TOR@PHO","TOR","PHO","","","",""
"22435-40200","C","Lucas","Lucas Nogueira","Nogueira","12.599999820484834","17","3500","TOR@PHO","TOR","PHO","O","Calf","",""
"22435-58505","C","Chinanu","Chinanu Onuaku","Onuaku","7.7","5","3500","CHA@HOU","HOU","CHA","","","",""
"22435-16906","PG","Julyan","Julyan Stone","Stone","9.5","2","3500","CHA@HOU","CHA","HOU","","","",""
"22435-66061","SF","Dwayne","Dwayne Bacon","Bacon","9.704000244140625","25","3500","CHA@HOU","CHA","HOU","","","",""
"22435-55058","SF","Bruno","Bruno Caboclo","Caboclo","2.8499999046325684","2","3500","TOR@PHO","TOR","PHO","","","",""
"22435-70819","PF","Dragan","Dragan Bender","Bender","12.237930824016702","29","3500","TOR@PHO","PHO","TOR","","","",""
"22435-16293","SG","Norman","Norman Powell","Powell","16.200000581287203","21","3500","TOR@PHO","TOR","PHO","","","",""
"22435-42662","SF","Troy","Troy Williams","Williams","3.325000047683716","4","3500","CHA@HOU","HOU","CHA","","","",""
"22435-9512","C","","Nene","Nene","14.377777099609375","18","3500","CHA@HOU","HOU","CHA","","","",""
"22435-70830","C","Zhou","Zhou Qi","Qi","4.51818188753995","11","3500","CHA@HOU","HOU","CHA","GTD","Calf","",""
"22435-15792","PF","Johnny","Johnny O'Bryant III","O'Bryant III","9.241666793823242","12","3500","CHA@HOU","CHA","HOU","","","",""
"22435-80816","SG","Malik","Malik Monk","Monk","11.16956495202106","23","3500","CHA@HOU","CHA","HOU","","","",""
"22435-17332","PF","Tarik","Tarik Black","Black","8.955555386013454","18","3500","CHA@HOU","HOU","CHA","","","",""
"22435-41269","PG","Demetrius","Demetrius Jackson","Jackson","2.808333396911621","12","3500","CHA@HOU","HOU","CHA","","","",""
"22435-9796","PF","Luc","Luc Mbah a Moute","Mbah a Moute","16.956521739130434","23","3500","CHA@HOU","HOU","CHA","","","",""
"22435-20805","SG","Troy","Troy Daniels","Daniels","8.927585996430496","29","3500","TOR@PHO","PHO","TOR","","","",""
"22435-20806","SG","Treveon","Treveon Graham","Graham","11.34375","16","3500","CHA@HOU","CHA","HOU","","","",""
"22435-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","14.486666870117187","15","3500","CHA@HOU","CHA","HOU","","","",""
"22435-9677","PF","Jared","Jared Dudley","Dudley","12.266666412353516","12","3500","TOR@PHO","PHO","TOR","","","",""
"22435-20815","PG","Briante","Briante Weber","Weber","1.774999976158142","4","3500","CHA@HOU","HOU","CHA","","","",""
"22435-34779","PF","Mangok","Mangok Mathiang","Mathiang","2.4000000953674316","1","3500","CHA@HOU","CHA","HOU","","","",""
"22435-15964","PG","Lorenzo","Lorenzo Brown","Brown","4.983333269755046","6","3500","TOR@PHO","TOR","PHO","","","",""
"22435-43109","PF","Alec","Alec Peters","Peters","6.300000190734863","2","3500","TOR@PHO","PHO","TOR","","","",""
"22435-23655","PG","Marcus","Marcus Paige","Paige","2.4000000953674316","1","3500","CHA@HOU","CHA","HOU","","","",""
"22435-74101","PG","Bobby","Bobby Brown","Brown","4.025000095367432","16","3500","CHA@HOU","HOU","CHA","","","",""
"22435-18811","PF","Malcolm","Malcolm Miller","Miller","0","0","3500","TOR@PHO","TOR","PHO","","","",""
"22435-40830","PG","Delon","Delon Wright","Wright","16.52142878941127","14","3500","TOR@PHO","TOR","PHO","O","Shoulder","",""
